text,sentiment,platform,hashtags,country,timestamp,likes,retweets
"A moment of tenderness, connecting with loved ones.",Tenderness,Facebook,#Tenderness #FamilyTime,UK,2016-02-23 19:45:00,50.0,25.0
Arousal of excitement as I await a special announcement.,Arousal,Twitter,#Arousal #Excitement,Australia,2017-10-30 11:30:00,40.0,20.0
Enthusiastically diving into a new project.,Enthusiasm,Instagram,#Enthusiasm #NewProject,USA,2018-06-15 16:00:00,30.0,15.0
Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,Facebook,#Fulfillment #Milestone,India,2019-03-28 18:20:00,45.0,22.0
Reverence for the beauty of a historic landmark.,Reverence,Twitter,#Reverence #History,UK,2019-11-11 15:00:00,35.0,18.0
Elation after a surprise reunion with old friends.,Elation,Instagram,#Elation #OldFriends,Canada,2020-04-02 09:30:00,50.0,25.0
The euphoria of a live music concert under the stars.,Euphoria,Facebook,#Euphoria #LiveMusic,USA,2021-06-19 14:45:00,30.0,15.0
Contentment in the simplicity of a quiet Sunday.,Contentment,Twitter,#Contentment #SundayMood,Australia,2010-08-15 10:00:00,60.0,30.0
Serenity found in the pages of a favorite book.,Serenity,Instagram,#Serenity #BookTime,UK,2011-09-22 19:30:00,45.0,22.0
Gratitude for the support received during tough times.,Gratitude,Facebook,#Gratitude #Supportive,India,2012-03-10 08:30:00,30.0,15.0
Hopeful about the possibilities of a new journey.,Hope,Twitter,#Hope #NewBeginnings,Canada,2013-12-05 16:00:00,35.0,18.0
Empowerment through learning and personal growth.,Empowerment,Instagram,#Empowerment #PersonalGrowth,USA,2014-07-20 11:30:00,50.0,25.0
Compassion towards those in need during the holidays.,Compassion,Facebook,#Compassion #HolidaySupport,USA,2015-12-22 14:20:00,35.0,18.0
Tenderness in the warmth of a cozy winter evening.,Tenderness,Twitter,#Tenderness #CozyEvening,UK,2016-02-10 19:45:00,50.0,25.0
Arousal of excitement for an upcoming adventure.,Arousal,Instagram,#Arousal #AdventureTime,Australia,2017-04-30 11:30:00,40.0,20.0
Enthusiasm for a creative project in the making.,Enthusiasm,Facebook,#Enthusiasm #Creativity,Canada,2018-09-15 16:00:00,30.0,15.0
Fulfillment in completing a challenging workout routine.,Fulfillment,Twitter,#Fulfillment #FitnessGoals,India,2019-06-28 18:20:00,45.0,22.0
Reverence for the artistry displayed in a museum.,Reverence,Instagram,#Reverence #ArtAppreciation,UK,2020-11-11 15:00:00,35.0,18.0
Elation after achieving a personal goal.,Elation,Facebook,#Elation #PersonalAchievement,USA,2021-03-02 09:30:00,50.0,25.0
Elation over discovering a hidden gem in the city.,Elation,Twitter,#Elation #HiddenGem,USA,2012-02-18 14:30:00,40.0,20.0
The euphoria of a surprise birthday celebration.,Euphoria,Instagram,#Euphoria #BirthdaySurprise,UK,2018-11-05 21:45:00,30.0,15.0
Contentment in the simplicity of a home-cooked meal.,Contentment,Facebook,#Contentment #HomeCooking,India,2015-09-12 13:20:00,50.0,25.0
Serenity found in the melody of a peaceful piano.,Serenity,Twitter,#Serenity #PeacefulMelody,Canada,2016-07-30 18:10:00,35.0,18.0
Gratitude for the supportive community around me.,Gratitude,Instagram,#Gratitude #CommunitySupport,USA,2013-04-20 10:30:00,60.0,30.0
Hopeful about the prospects of a new business venture.,Hope,Facebook,#Hope #BusinessVenture,Canada,2017-12-08 19:15:00,45.0,22.0
Empowerment through mentoring and guiding others.,Empowerment,Twitter,#Empowerment #Mentorship,UK,2014-06-03 08:20:00,30.0,15.0
Compassion shown through acts of kindness in the community.,Compassion,Instagram,#Compassion #CommunityKindness,Australia,2019-01-15 14:50:00,35.0,18.0
Tenderness in a heartfelt message to a loved one.,Tenderness,Facebook,#Tenderness #LoveNote,UK,2016-12-25 19:30:00,50.0,25.0
Arousal of excitement before a much-awaited trip.,Arousal,Twitter,#Arousal #TravelAdventure,India,2018-03-10 09:45:00,40.0,20.0
Enthusiasm for a new artistic project in the works.,Enthusiasm,Instagram,#Enthusiasm #ArtisticProject,USA,2020-09-17 16:30:00,30.0,15.0
Feeling a sense of fulfillment after helping others.,Fulfillment,Facebook,#Fulfillment #HelpingOthers,Canada,2011-08-28 18:45:00,45.0,22.0
Reverence for the historical significance of a landmark.,Reverence,Twitter,#Reverence #HistoricalSite,Australia,2017-11-01 15:30:00,35.0,18.0
Elation after achieving a fitness milestone.,Elation,Instagram,#Elation #FitnessMilestone,UK,2019-06-15 10:00:00,50.0,25.0
The euphoria of a successful product launch.,Euphoria,Facebook,#Euphoria #ProductLaunchSuccess,USA,2022-04-03 11:45:00,30.0,15.0
Contentment in the embrace of a loved one.,Contentment,Twitter,#Contentment #Love,India,2010-11-12 20:20:00,60.0,30.0
Serenity found in the beauty of a sunset by the sea.,Serenity,Instagram,#Serenity #SunsetViews,Canada,2011-07-22 18:30:00,45.0,22.0
Gratitude for the small joys that each day brings.,Gratitude,Facebook,#Gratitude #SmallJoys,Australia,2012-03-30 11:20:00,30.0,15.0
Hopeful about the potential for personal growth.,Hope,Twitter,#Hope #PersonalDevelopment,UK,2013-10-05 16:40:00,35.0,18.0
Empowerment through learning a new skill.,Empowerment,Instagram,#Empowerment #SkillBuilding,India,2014-07-10 13:15:00,50.0,25.0
Compassion in volunteering for a local charity.,Compassion,Facebook,#Compassion #VolunteerWork,USA,2015-12-18 14:20:00,35.0,18.0
Tenderness in a quiet moment shared with a pet.,Tenderness,Twitter,#Tenderness #PetLove,Canada,2016-02-10 19:45:00,50.0,25.0
Arousal of excitement for an upcoming festival.,Arousal,Instagram,#Arousal #FestivalExcitement,UK,2017-09-25 11:30:00,40.0,20.0
Enthusiasm for a DIY home improvement project.,Enthusiasm,Facebook,#Enthusiasm #HomeImprovement,Australia,2018-04-15 16:00:00,30.0,15.0
Fulfillment in completing a challenging puzzle.,Fulfillment,Twitter,#Fulfillment #PuzzleChallenge,India,2019-11-28 18:20:00,45.0,22.0
Reverence for the wonders of nature on a hiking trail.,Reverence,Instagram,#Reverence #NatureExploration,USA,2020-05-11 15:00:00,35.0,18.0
Elation after a surprise reunion with a childhood friend.,Elation,Facebook,#Elation #FriendshipReunion,Canada,2021-02-05 09:30:00,50.0,25.0
Suffering from despair after another setback.,Despair,Twitter,#Despair #Struggle,USA,2021-03-10 08:30:00,10.0,5.0
"Overwhelmed by grief, missing a loved one dearly.",Grief,Instagram,#Grief #Loss,Canada,2022-07-05 15:45:00,15.0,8.0
Loneliness creeps in as the night grows colder.,Loneliness,Facebook,#Loneliness #Isolation,UK,2019-11-18 21:20:00,20.0,10.0
Jealousy consumes me as I witness others' success.,Jealousy,Twitter,#Jealousy #Envy,India,2020-08-12 11:30:00,25.0,12.0
Resentment building up over past betrayals.,Resentment,Instagram,#Resentment #Bitterness,Australia,2018-05-22 14:45:00,15.0,7.0
Frustration mounts as obstacles block my path.,Frustration,Facebook,#Frustration #Obstacles,USA,2017-01-30 16:10:00,20.0,10.0
"Boredom sets in, the day feels endlessly dull.",Boredom,Twitter,#Boredom #LackOfInterest,Canada,2016-09-28 19:45:00,15.0,8.0
"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,Instagram,#Anxiety #Worry,UK,2019-04-15 09:00:00,25.0,12.0
Intimidation by the unknown future ahead.,Intimidation,Facebook,#Intimidation #Fear,India,2021-12-03 18:30:00,30.0,15.0
Helplessness sinks in as challenges pile up.,Helplessness,Twitter,#Helplessness #Overwhelmed,Australia,2020-06-20 14:20:00,15.0,8.0
Envy eats away at me as I see others' prosperity.,Envy,Instagram,#Envy #Desire,Canada,2018-11-07 11:30:00,20.0,10.0
Regret over missed opportunities haunts my thoughts.,Regret,Facebook,#Regret #MissedChances,UK,2017-08-25 16:00:00,25.0,12.0
Disgust at the sight of injustice and cruelty.,Disgust,Twitter,#Disgust #Injustice,India,2019-02-11 09:45:00,15.0,7.0
"Drowning in despair, hope slipping through my fingers.",Despair,Instagram,#Despair #Hopeless,USA,2016-04-02 20:20:00,20.0,10.0
"Grief weighs heavy, tears a constant companion.",Grief,Facebook,#Grief #Tears,Canada,2015-10-18 15:30:00,25.0,12.0
"Loneliness in a crowded room, a silent cry for connection.",Loneliness,Twitter,#Loneliness #SeekingConnection,UK,2019-07-12 18:10:00,30.0,15.0
"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,Instagram,#Jealousy #Insecurity,India,2018-06-03 16:30:00,15.0,8.0
"Resentment festers, poisoning relationships.",Resentment,Facebook,#Resentment #BrokenTrust,Australia,2022-01-15 12:00:00,20.0,10.0
"Frustration boils over, a volcanic eruption of emotions.",Frustration,Twitter,#Frustration #EmotionalOutburst,USA,2017-04-10 14:45:00,25.0,12.0
"Boredom settles like dust, life feels mundane.",Boredom,Instagram,#Boredom #Monotony,Canada,2016-11-28 19:00:00,15.0,7.0
"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,Facebook,#Anxiety #Restlessness,UK,2018-09-05 09:30:00,20.0,10.0
"Intimidation by the challenges ahead, fear takes hold.",Intimidation,Twitter,#Intimidation #FacingFear,India,2021-10-22 18:30:00,30.0,15.0
"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,Instagram,#Helplessness #Struggling,Australia,2019-05-08 14:20:00,15.0,8.0
"Envy poisons my thoughts, coveting others' success.",Envy,Facebook,#Envy #Success,Canada,2017-03-20 11:30:00,20.0,10.0
Regret for decisions that led to a painful present.,Regret,Twitter,#Regret #PastChoices,USA,2018-12-15 16:00:00,25.0,12.0
Disgust at the corruption that stains society.,Disgust,Instagram,#Disgust #Corruption,UK,2016-07-01 09:45:00,15.0,7.0
"Sinking in despair, each day darker than the last.",Despair,Facebook,#Despair #DarkDays,India,2020-08-20 20:20:00,20.0,10.0
"Grief overwhelms, a storm of emotions within.",Grief,Twitter,#Grief #EmotionalStorm,Canada,2021-02-25 15:30:00,25.0,12.0
"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,Instagram,#Loneliness #YearningForConnection,Australia,2019-09-12 18:10:00,30.0,15.0
"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,Facebook,#Jealousy #Resentment,USA,2018-08-05 16:30:00,15.0,8.0
"Resentment festers, a wound that refuses to heal.",Resentment,Twitter,#Resentment #Unforgiving,India,2017-01-12 12:00:00,20.0,10.0
"Frustration escalates, a thunderstorm of emotions.",Frustration,Instagram,#Frustration #EmotionalOutburst,UK,2022-04-05 14:45:00,25.0,12.0
"Boredom lingers, a stagnant pool of indifference.",Boredom,Facebook,#Boredom #Stagnation,Canada,2021-10-02 19:00:00,15.0,7.0
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,Twitter,#Curiosity #Learning,USA,2023-04-15 10:15:00,30.0,15.0
"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,Instagram,#Indifference #DigitalOverload,Canada,2022-11-28 17:30:00,15.0,7.0
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,Facebook,#Confusion #LifePuzzle,UK,2020-04-02 09:45:00,20.0,10.0
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,Twitter,#Numbness #EmotionalShield,India,2021-08-10 14:00:00,15.0,8.0
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,Instagram,#Melancholy #SunsetMoments,Australia,2019-06-18 20:45:00,25.0,12.0
"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,Facebook,#Nostalgia #MemoryLane,USA,2018-02-05 15:15:00,20.0,10.0
"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,Twitter,#Ambivalence #UncertainChoices,Canada,2022-05-30 11:30:00,25.0,12.0
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,Instagram,#Acceptance #LifeJourney,UK,2023-01-10 16:20:00,30.0,15.0
"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,Facebook,#Determination #AchieveTheImpossible,India,2020-09-18 13:45:00,20.0,10.0
"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,Twitter,#Serenity #NatureRetreat,Australia,2021-07-03 19:00:00,25.0,12.0
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,Instagram,#Curiosity #KnowledgeQuest,USA,2022-10-08 08:15:00,40.0,20.0
"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,Facebook,#Indifference #FloatingThroughLife,Canada,2023-03-22 16:30:00,20.0,10.0
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,Twitter,#Confusion #ThoughtLabyrinth,UK,2021-05-15 11:45:00,30.0,15.0
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,Instagram,#Numbness #StoicFacade,Australia,2019-12-28 14:30:00,15.0,8.0
"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,Facebook,#Melancholy #WhispersInTheBreeze,India,2020-03-01 19:00:00,25.0,12.0
"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",Nostalgia,Twitter,#Nostalgia #JournalMoments,Canada,2018-07-10 15:45:00,20.0,10.0
