Post_Number,text,Sentiment,Location,Platform,Likes,Retweets
112,"Embracing the beauty of nature, a moment of contentment.",POS,India,Facebook,50.0,25.0
113,"Meditating by the serene lake, finding inner peace.",POS,UK,Twitter,35.0,18.0
114,Overflowing with gratitude for life's blessings.,POS,Australia,Instagram,60.0,30.0
115,"Hopeful for a brighter tomorrow, despite challenges.",POS,USA,Facebook,45.0,22.0
116,Empowered to make a difference in my community.,POS,UK,Twitter,30.0,15.0
117,Compassion in action: supporting a local charity event.,POS,Canada,Instagram,35.0,18.0
118,"A moment of tenderness, connecting with loved ones.",NEU,UK,Facebook,50.0,25.0
119,Arousal of excitement as I await a special announcement.,NEG,Australia,Twitter,40.0,20.0
120,Enthusiastically diving into a new project.,POS,USA,Instagram,30.0,15.0
121,Feeling a sense of fulfillment after reaching a milestone.,POS,India,Facebook,45.0,22.0
122,Reverence for the beauty of a historic landmark.,NEU,UK,Twitter,35.0,18.0
123,Elation after a surprise reunion with old friends.,POS,Canada,Instagram,50.0,25.0
124,The euphoria of a live music concert under the stars.,NEU,USA,Facebook,30.0,15.0
125,Contentment in the simplicity of a quiet Sunday.,POS,Australia,Twitter,60.0,30.0
126,Serenity found in the pages of a favorite book.,POS,UK,Instagram,45.0,22.0
127,Gratitude for the support received during tough times.,POS,India,Facebook,30.0,15.0
128,Hopeful about the possibilities of a new journey.,POS,Canada,Twitter,35.0,18.0
129,Empowerment through learning and personal growth.,POS,USA,Instagram,50.0,25.0
130,Compassion towards those in need during the holidays.,POS,USA,Facebook,35.0,18.0
131,Tenderness in the warmth of a cozy winter evening.,NEU,UK,Twitter,50.0,25.0
132,Arousal of excitement for an upcoming adventure.,NEG,Australia,Instagram,40.0,20.0
133,Enthusiasm for a creative project in the making.,POS,Canada,Facebook,30.0,15.0
134,Fulfillment in completing a challenging workout routine.,POS,India,Twitter,45.0,22.0
135,Reverence for the artistry displayed in a museum.,NEU,UK,Instagram,35.0,18.0
136,Elation after achieving a personal goal.,POS,USA,Facebook,50.0,25.0
137,Elation over discovering a hidden gem in the city.,POS,USA,Twitter,40.0,20.0
138,The euphoria of a surprise birthday celebration.,NEU,UK,Instagram,30.0,15.0
139,Contentment in the simplicity of a home-cooked meal.,POS,India,Facebook,50.0,25.0
140,Serenity found in the melody of a peaceful piano.,POS,Canada,Twitter,35.0,18.0
141,Gratitude for the supportive community around me.,POS,USA,Instagram,60.0,30.0
142,Hopeful about the prospects of a new business venture.,POS,Canada,Facebook,45.0,22.0
143,Empowerment through mentoring and guiding others.,POS,UK,Twitter,30.0,15.0
144,Compassion shown through acts of kindness in the community.,POS,Australia,Instagram,35.0,18.0
145,Tenderness in a heartfelt message to a loved one.,NEU,UK,Facebook,50.0,25.0
146,Arousal of excitement before a much-awaited trip.,NEG,India,Twitter,40.0,20.0
147,Enthusiasm for a new artistic project in the works.,POS,USA,Instagram,30.0,15.0
148,Feeling a sense of fulfillment after helping others.,POS,Canada,Facebook,45.0,22.0
149,Reverence for the historical significance of a landmark.,NEU,Australia,Twitter,35.0,18.0
150,Elation after achieving a fitness milestone.,POS,UK,Instagram,50.0,25.0
151,The euphoria of a successful product launch.,NEU,USA,Facebook,30.0,15.0
152,Contentment in the embrace of a loved one.,POS,India,Twitter,60.0,30.0
153,Serenity found in the beauty of a sunset by the sea.,POS,Canada,Instagram,45.0,22.0
154,Gratitude for the small joys that each day brings.,POS,Australia,Facebook,30.0,15.0
155,Hopeful about the potential for personal growth.,POS,UK,Twitter,35.0,18.0
156,Empowerment through learning a new skill.,POS,India,Instagram,50.0,25.0
157,Compassion in volunteering for a local charity.,POS,USA,Facebook,35.0,18.0
158,Tenderness in a quiet moment shared with a pet.,NEU,Canada,Twitter,50.0,25.0
159,Arousal of excitement for an upcoming festival.,NEG,UK,Instagram,40.0,20.0
160,Enthusiasm for a DIY home improvement project.,POS,Australia,Facebook,30.0,15.0
161,Fulfillment in completing a challenging puzzle.,POS,India,Twitter,45.0,22.0
162,Reverence for the wonders of nature on a hiking trail.,NEU,USA,Instagram,35.0,18.0
163,Elation after a surprise reunion with a childhood friend.,POS,Canada,Facebook,50.0,25.0
164,Suffering from despair after another setback.,NEG,USA,Twitter,10.0,5.0
165,"Overwhelmed by grief, missing a loved one dearly.",NEG,Canada,Instagram,15.0,8.0
166,Loneliness creeps in as the night grows colder.,NEG,UK,Facebook,20.0,10.0
167,Jealousy consumes me as I witness others' success.,NEG,India,Twitter,25.0,12.0
168,Resentment building up over past betrayals.,NEG,Australia,Instagram,15.0,7.0
169,Frustration mounts as obstacles block my path.,NEG,USA,Facebook,20.0,10.0
170,"Boredom sets in, the day feels endlessly dull.",NEG,Canada,Twitter,15.0,8.0
171,"Anxiety grips my heart, worry clouds my thoughts.",NEU,UK,Instagram,25.0,12.0
172,Intimidation by the unknown future ahead.,NEG,India,Facebook,30.0,15.0
173,Helplessness sinks in as challenges pile up.,NEG,Australia,Twitter,15.0,8.0
174,Envy eats away at me as I see others' prosperity.,NEU,Canada,Instagram,20.0,10.0
175,Regret over missed opportunities haunts my thoughts.,NEG,UK,Facebook,25.0,12.0
176,Disgust at the sight of injustice and cruelty.,NEG,India,Twitter,15.0,7.0
177,"Drowning in despair, hope slipping through my fingers.",NEG,USA,Instagram,20.0,10.0
178,"Grief weighs heavy, tears a constant companion.",NEG,Canada,Facebook,25.0,12.0
179,"Loneliness in a crowded room, a silent cry for connection.",NEG,UK,Twitter,30.0,15.0
180,"Jealousy gnaws at my confidence, a toxic emotion.",NEG,India,Instagram,15.0,8.0
181,"Resentment festers, poisoning relationships.",NEG,Australia,Facebook,20.0,10.0
182,"Frustration boils over, a volcanic eruption of emotions.",NEG,USA,Twitter,25.0,12.0
183,"Boredom settles like dust, life feels mundane.",NEG,Canada,Instagram,15.0,7.0
184,"Anxiety grips my chest, a relentless grip on my thoughts.",NEU,UK,Facebook,20.0,10.0
185,"Intimidation by the challenges ahead, fear takes hold.",NEG,India,Twitter,30.0,15.0
186,"Helplessness engulfs me, drowning in a sea of problems.",NEG,Australia,Instagram,15.0,8.0
187,"Envy poisons my thoughts, coveting others' success.",NEU,Canada,Facebook,20.0,10.0
188,Regret for decisions that led to a painful present.,NEG,USA,Twitter,25.0,12.0
189,Disgust at the corruption that stains society.,NEG,UK,Instagram,15.0,7.0
190,"Sinking in despair, each day darker than the last.",NEG,India,Facebook,20.0,10.0
191,"Grief overwhelms, a storm of emotions within.",NEG,Canada,Twitter,25.0,12.0
192,"Loneliness echoes in empty spaces, yearning for connection.",NEG,Australia,Instagram,30.0,15.0
193,"Jealousy poisons my thoughts, resentment brewing within.",NEG,USA,Facebook,15.0,8.0
194,"Resentment festers, a wound that refuses to heal.",NEG,India,Twitter,20.0,10.0
195,"Frustration escalates, a thunderstorm of emotions.",NEG,UK,Instagram,25.0,12.0
196,"Boredom lingers, a stagnant pool of indifference.",NEG,Canada,Facebook,15.0,7.0
197,"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",NEU,USA,Twitter,30.0,15.0
198,"Lost in the vast sea of information, an indifferent wave in the digital ocean.",NEU,Canada,Instagram,15.0,7.0
199,"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",NEU,UK,Facebook,20.0,10.0
200,"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",NEU,India,Twitter,15.0,8.0
201,"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",NEU,Australia,Instagram,25.0,12.0
202,"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",NEU,USA,Facebook,20.0,10.0
203,"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",NEU,Canada,Twitter,25.0,12.0
204,"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",NEU,UK,Instagram,30.0,15.0
205,"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",POS,India,Facebook,20.0,10.0
206,"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",POS,Australia,Twitter,25.0,12.0
207,"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",NEU,USA,Instagram,40.0,20.0
208,"Floating through the day with an air of indifference, detached from the mundane happenings around.",NEU,Canada,Facebook,20.0,10.0
209,"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",NEU,UK,Twitter,30.0,15.0
210,"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",NEU,Australia,Instagram,15.0,8.0
211,"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",NEU,India,Facebook,25.0,12.0
212,"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",NEU,Canada,Twitter,20.0,10.0
213,"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",NEU,UK,Instagram,25.0,12.0
214,"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",NEU,Australia,Facebook,30.0,15.0
215,"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",POS,USA,Twitter,35.0,18.0
216,"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",POS,Canada,Instagram,50.0,25.0
217,"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",NEU,India,Facebook,45.0,22.0
218,"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",NEU,UK,Twitter,18.0,9.0
219,"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",NEU,Australia,Instagram,28.0,14.0
220,"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",NEU,USA,Facebook,20.0,10.0
221,"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",NEU,Canada,Twitter,26.0,13.0
222,"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",NEU,India,Instagram,25.0,12.0
223,"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",NEU,Australia,Facebook,30.0,15.0
224,"Embracing life's imperfections, finding acceptance in the journey, scars and all.",NEU,Canada,Twitter,36.0,18.0
225,"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",POS,UK,Instagram,40.0,20.0
226,"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",POS,USA,Facebook,50.0,25.0
227,"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",NEU,India,Instagram,18.0,9.0
228,"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",NEU,Australia,Facebook,28.0,14.0
229,"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",NEU,UK,Twitter,22.0,11.0
230,"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",NEU,USA,Instagram,26.0,13.0
231,"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",NEU,Canada,Facebook,25.0,12.0
232,"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",NEU,India,Twitter,30.0,15.0
233,"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",NEU,Australia,Instagram,36.0,18.0
234,"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",POS,USA,Facebook,40.0,20.0
235,"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",POS,Canada,Twitter,50.0,25.0
236,"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",NEU,UK,Instagram,45.0,22.0
237,"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",NEU,India,Facebook,18.0,9.0
238,"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",NEU,Australia,Twitter,28.0,14.0
239,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",NEU,Canada,Instagram,20.0,10.0
240,"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",NEU,UK,Facebook,26.0,13.0
241,"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",NEU,USA,Twitter,25.0,12.0
242,"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",NEU,Canada,Instagram,30.0,15.0
243,"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",NEU,Australia,Facebook,36.0,18.0
244,"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",POS,UK,Twitter,40.0,20.0
245,"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",POS,USA,Instagram,50.0,25.0
246,"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",NEU,India,Facebook,44.0,22.0
247,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",NEU,Canada,Instagram,20.0,10.0
248,"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",NEU,USA,Twitter,30.0,15.0
249,"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",POS,Australia,Facebook,36.0,18.0
250,"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",POS,India,Instagram,24.0,12.0
251,"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",POS,Canada,Twitter,50.0,25.0
252,"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",POS,USA,Facebook,40.0,20.0
253,"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",POS,UK,Instagram,30.0,15.0
254,"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",POS,Australia,Twitter,36.0,18.0
255,"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",NEU,Canada,Facebook,44.0,22.0
256,"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",POS,India,Instagram,40.0,20.0
257,"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",POS,UK,Twitter,30.0,15.0
258,"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",POS,USA,Facebook,24.0,12.0
259,"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",POS,Australia,Instagram,50.0,25.0
260,"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",POS,Canada,Twitter,26.0,13.0
261,"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",NEU,USA,Instagram,34.0,17.0
262,"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",NEU,UK,Facebook,28.0,14.0
263,"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",POS,Australia,Twitter,38.0,19.0
264,"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",NEU,India,Instagram,32.0,16.0
265,"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",POS,Canada,Facebook,42.0,21.0
266,"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",POS,USA,Twitter,46.0,23.0
267,"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",POS,UK,Instagram,28.0,14.0
268,"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",NEU,Australia,Facebook,48.0,24.0
269,"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",POS,India,Twitter,36.0,18.0
270,"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",POS,Canada,Instagram,40.0,20.0
271,"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",POS,USA,Facebook,32.0,16.0
272,"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",POS,UK,Twitter,44.0,22.0
273,"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",POS,Australia,Instagram,38.0,19.0
274,"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",POS,Canada,Facebook,46.0,23.0
275,"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",POS,India,Twitter,30.0,15.0
276,"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",NEU,USA,Instagram,50.0,25.0
277,"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",POS,UK,Facebook,28.0,14.0
278,"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",POS,Australia,Twitter,34.0,17.0
279,"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",POS,Canada,Instagram,42.0,21.0
280,"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",POS,USA,Twitter,46.0,23.0
281,"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",POS,UK,Instagram,28.0,14.0
282,"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",NEU,Australia,Facebook,48.0,24.0
283,"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",POS,India,Twitter,36.0,18.0
284,"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",POS,Canada,Instagram,40.0,20.0
285,"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",POS,USA,Facebook,32.0,16.0
286,"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",POS,UK,Twitter,44.0,22.0
287,"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",POS,Australia,Instagram,38.0,19.0
288,"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",POS,Canada,Facebook,46.0,23.0
289,"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",POS,India,Twitter,30.0,15.0
290,"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",NEU,USA,Instagram,50.0,25.0
291,"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",POS,UK,Facebook,28.0,14.0
292,"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",POS,Australia,Twitter,34.0,17.0
293,"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",POS,Canada,Instagram,42.0,21.0
294,"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",POS,USA,Twitter,46.0,23.0
295,"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",POS,India,Instagram,28.0,14.0
296,"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",NEU,Australia,Facebook,48.0,24.0
297,"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",NEG,Canada,Instagram,16.0,8.0
298,"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",NEG,UK,Facebook,24.0,12.0
299,"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",NEG,USA,Twitter,30.0,15.0
300,"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",NEU,Australia,Instagram,20.0,10.0
